DeusCoin,,-4.01%,+22.54%,,,"26,302.71 USD"
Dotcoin,,,+1.41%,,,"26,200.13 USD"
TrustPlus,,,+9.36%,,,"25,073.7 USD"
Pillar,,,+9.76%,,,"24,692.94 USD"
ClubCoin,,-4.24%,+4.21%,,,"24,530.42 USD"
Linx,,-13.74%,,,,"24,392.71 USD"
Goldcoin,,-7.15%,+2.03%,,,"24,315.9 USD"
GBG,,,+7.02%,,,"23,887.43 USD"
Dentacoin,,-46.04%,+34.64%,,,"23,876.87 USD"
GlobalCurReserve,,-2.83%,,,,"23,264.69 USD"
LindaCoin,,-37.88%,,,,"22,990.59 USD"
TransferCoin,,,+3.37%,,,"22,891.94 USD"
,,-2.21%,+31.27%,,,"21,932.33 USD"
ElectronicGulden,,,+2.75%,,,"21,810.69 USD"
InfluxCoin,,-0.58%,+14.67%,,,"21,790.22 USD"
CHNcoin,,-34.04%,+1.49%,,,"20,939.41 USD"
Token-as-a-Service,,-6.41%,+19.27%,,,"20,793.65 USD"
CapriCoin,,-3.99%,+13.18%,,,"20,697.23 USD"
Gambitcoin,,,+7.5%,,,"20,545.97 USD"
RouletteCoin,,-42.81%,+2.1%,,,"20,235.5 USD"
Unobtanium,,-6.57%,+2.99%,"$ 12,814,911",,"20,128.55 USD"
AgorasToken,,-1.75%,,,,"19,706.76 USD"
UnityIngot,,-13.72%,,,,"19,271.2 USD"
,,-13.74%,+11.08%,,,"18,126.16 USD"
VirtaUniqueCoin,,,+4.43%,,,"18,075.83 USD"
Voise,,-6.59%,,,,"17,822.25 USD"
E-Dinar Coin,,-7.61%,+118.02%,,,"17,559.16 USD"
Visio,,-23.53%,,,,"17,221.44 USD"
Adzcoin,,,+4.97%,,,"17,190.6 USD"
TileCoin,,-1.09%,,,,"17,161.88 USD"
Bitmox,,-2.95%,+70.57%,,,"16,931.31 USD"
WhiteCoin,,-24.24%,+1.71%,"$ 1,406,016",,"16,463.81 USD"
MALCoin,,-11.06%,,,,"16,322.47 USD"
Denarius,,-10.4%,+4.45%,,,"16,193.69 USD"
Hush,,-3.22%,+1.01%,,,"15,323.51 USD"
Procoin,,-41.8%,+26.16%,,,"14,859.41 USD"
EcoBit,,-0.51%,,,,"14,754.23 USD"
Aeon,,-8.25%,+5.04%,,,"14,649.93 USD"
ChainCoin,,-15.22%,+4.13%,,,"14,488.15 USD"
Coeval,,,+9.19%,,,"14,119.69 USD"
Solarcoin,,-1.56%,,,,"13,928.58 USD"
Cannation,,-8.59%,+86.33%,,,"13,868.45 USD"
ExclusiveCoin,,-13.02%,+4.93%,,,"12,903.5 USD"
HellenicCoin,,,+12.06%,,,"12,792.05 USD"
Zennies,,,+0.88%,,,"12,429.84 USD"
SaluS,,,+1.95%,,,"12,345.87 USD"
Synergy,,-13.5%,+1.87%,,,"12,008.33 USD"
WA Space,,-1.26%,+0.53%,,,"11,755.39 USD"
,,-0.9%,,,,"11,692.04 USD"
HackerGold,,-11.78%,+0.53%,,,"11,645.93 USD"
Hempcoin,,-12.87%,+0.35%,,,"11,362.9 USD"
Obits,,-11.91%,+3.12%,,,"11,216.58 USD"
Peerplays,,-39.8%,+14.22%,,,"11,200.47 USD"
EmberCoin,,-49.51%,,,,"11,091.18 USD"
,,-11.64%,+32.36%,,,"10,385.89 USD"
RenosCoin,,-15.42%,,,,"10,347.72 USD"
HitCoin,,,+101.57%,,,"9,664.86 USD"
Centurion,,-3.72%,+238.54%,,,"9,575.17 USD"
eBoost,,-2.2%,+5.43%,,,"9,538.33 USD"
BitcoinTX,,-4.06%,+107.23%,,,"9,200.14 USD"
NuShares,,-5.93%,,,,"8,983.61 USD"
MobileGo,,-12.34%,,,,"8,854.18 USD"
Quantum,,-11.84%,+0.92%,,,"8,769.14 USD"
Germanycoin,,-32.81%,,,,"8,704.6 USD"
Skycoin,,-9.25%,,,,"8,694.33 USD"
IOU1,,,+10.6%,,,"8,272.48 USD"
SkinCoin,,-85.59%,+10.26%,,,"7,700.2 USD"
,,-8.41%,+91.14%,,,"7,676.67 USD"
Adshares,,-5.2%,,,,"7,662.72 USD"
LiteDoge,,-48.55%,,,,"7,623.84 USD"
DDF,,-23.18%,+147.04%,,,"7,600.88 USD"
PabyosiCoin Special,,-13.55%,+15.54%,,,"7,511.91 USD"
,,-45.72%,+38.3%,,,"7,365.21 USD"
Eternity,,-0.33%,,,,"7,332.74 USD"
,,-42.2%,+342.3%,,,"7,090.18 USD"
Atomiccoin,,,+12.55%,,,"6,982.98 USD"
,,-27.6%,+185.85%,,,"6,656.62 USD"
PostCoin,,-1.65%,,,,"6,503.65 USD"
AltCoin,,-9.01%,+64.97%,,,"6,257.74 USD"
AdamCoin,,-99.6%,+0.79%,,,"6,249.91 USD"
ArcticCoin,,-18.7%,+2.73%,,,"6,152.17 USD"
